"ctuid","area_km"
"x",0
5350473.03,2.07
5350474.00,30.35
5350475.00,13.17
5350476.01,14.55
5350476.02,19.99
5350480.01,3.46
5350480.02,3.56
5350481.01,3.90
5350481.02,3.10
5350482.00,187.01
5350483.01,9.89
5350483.02,65.23
5350484.02,93.82
5350484.03,10.35
5350484.04,79.70
5350485.01,8.71
5350485.02,6.51
5350500.01,0.79
5350500.02,3.16
5350501.01,8.80
5350501.02,4.00
5350502.01,1.17
5350502.02,0.69
5350503.00,1.67
5350504.00,1.38
5350505.01,2.76
5350505.02,3.82
5350506.00,1.85
5350507.00,2.06
5350508.00,1.31
5350509.01,1.95
5350509.02,2.92
5350510.00,6.32
5350511.01,0.45
5350511.02,1.40
5350512.00,2.05
5350513.01,3.50
5350513.02,1.10
5350513.03,1.07
5350513.04,1.36
5350514.01,3.36
5350514.02,1.93
5350515.01,2.75
5350515.02,1.41
5350516.01,1.45
5350516.02,1.74
5350516.03,1.12
5350516.04,1.03
5350516.05,1.17
5350516.06,0.91
5350516.08,1.33
5350516.09,2.38
5350516.11,2.18
5350516.16,2.94
5350516.17,1.08
5350516.18,1.16
5350516.2,1.32
5350516.21,1.35
5350516.22,1.68
5350516.23,1.32
5350516.24,2.83
5350516.25,2.82
5350516.26,1.49
5350516.28,0.92
5350516.29,0.75
5350516.3,2.41
5350516.31,1.43
5350516.32,1.04
5350516.37,1.15
5350516.38,1.58
5350516.39,3.49
5350516.4,1.32
5350516.41,0.67
5350516.42,1.68
5350516.43,1.27
5350516.44,1.28
5350516.46,1.23
5350516.47,1.17
5350516.48,0.91
5350516.49,1.49
5350517.00,1.23
5350518.00,0.74
5350519.00,1.11
5350520.01,2.62
5350520.02,1.64
5350520.05,0.57
5350520.07,0.34
5350520.08,1.11
5350520.09,0.27
5350520.1,0.48
5350521.01,0.20
5350521.02,0.86
5350521.03,0.63
5350521.04,1.28
5350521.05,0.75
5350521.06,0.62
5350522.00,1.75
5350523.00,1.18
5350524.01,0.81
5350524.02,0.63
5350525.01,0.52
5350525.02,1.80
5350526.01,0.76
5350526.02,0.81
5350527.01,2.46
5350527.02,1.16
5350527.03,1.30
5350527.04,1.67
5350527.05,1.66
5350527.06,1.06
5350527.07,1.30
5350527.08,1.21
5350527.09,1.90
5350528.01,1.31
5350528.02,1.54
5350528.1,1.52
5350528.11,0.21
5350528.12,1.44
5350528.13,1.44
5350528.15,0.89
5350528.16,0.87
5350528.18,1.55
5350528.19,0.77
5350528.2,3.26
5350528.21,1.39
5350528.22,1.38
5350528.24,4.66
5350528.25,1.23
5350528.26,0.62
5350528.31,0.82
5350528.32,1.95
5350528.33,2.51
5350528.34,3.34
5350528.35,15.05
5350528.36,1.11
5350528.37,8.54
5350528.39,5.93
5350528.4,3.45
5350528.41,55.78
5350528.42,1.16
