"","ctuid","bg_mean","bg_median","bg_scale"
"366","5350292.00",3,2,1.8296421375248
"367","5350293.00",0,0,-0.428212877041192
"368","5350294.01",1,1,-3.09441849362184
"369","5350294.02",2,1,-3.26986583435079
"370","5350295.00",2,2,0.91695411519203
"371","5350296.00",4,4,0.0127335882728332
"372","5350297.01",2,2,1.83583176373815
"373","5350297.02",1,1,2.95415623793938
"374","5350298.00",3,3,1.87501265182873
"375","5350299.01",1,1,2.11491018865758
"376","5350299.02",1,1,0.501311290825057
"377","5350300.00",2,2,-4.53281790025634
"378","5350301.01",4,4,-1.89967170130176
"379","5350301.03",1,1,-2.07337040660867
"380","5350301.04",0,0,-0.690790871040783
"381","5350302.01",1,2,1.78421825303886
"382","5350302.02",2,2,-1.95259383570685
"383","5350302.03",4,4,-3.09268919753494
"384","5350303.00",2,1,-0.101888068158897
"385","5350304.01",2,2,-2.80638944597735
"386","5350304.02",2,2,-2.76297538737103
"387","5350304.03",3,3,2.53490701514205
"388","5350304.04",2,1,-1.99375697769457
"389","5350304.05",3,3,-4.55778047579102
"390","5350304.06",2,2,-3.10016499143877
"391","5350305.01",2,2,-2.8423600391995
"392","5350305.03",1,1,-2.0319161858283
"393","5350305.04",1,1,-1.86541247570821
"394","5350306.01",4,4,-2.56113183980758
"395","5350306.02",0,0,-0.79875368256432
"396","5350307.03",2,2,-2.87259957131228
"397","5350307.04",2,2,-0.13405578640615
"398","5350307.05",2,2,-3.09237875322595
"399","5350307.06",2,2,-2.36331997342501
"400","5350307.07",2,2,-0.747582829752156
"401","5350308.02",3,2,-2.31835300898768
"402","5350308.03",2,2,4.12035345720074
"403","5350308.04",3,3,2.0305991365848
"404","5350309.00",1,1,0.941949176035878
"405","5350310.01",3,2,1.2394635128045
"406","5350310.02",2,2,1.71543449393966
"407","5350311.02",2,2,-2.5952998626203
"408","5350311.03",1,1,-2.21119140075269
"409","5350311.04",1,1,-1.29313546963281
"410","5350311.05",3,3,-0.0586810910452085
"411","5350311.06",2,2,-0.757426896732259
"412","5350312.02",2,2,3.90536853609283
"413","5350312.03",4,4,0.393643199891621
"414","5350312.04",0,0,0.828904664796255
"415","5350312.05",3,3,2.11346897682548
"416","5350312.06",3,3,1.69915337937087
"417","5350312.07",3,3,2.69633025812993
"418","5350313.00",4,4,1.48118995506116
"419","5350314.01",3,2,-1.44495205045079
"420","5350314.02",3,3,-1.67960473607767
"421","5350315.01",2,2,-0.873335197698712
"422","5350315.02",1,1,-0.759075438279495
"423","5350315.03",2,2,-1.10464579584796
"424","5350316.01",3,2,-0.866031194884175
"425","5350316.03",2,1,-0.351171175861003
"426","5350316.04",2,2,2.20175938981355
"427","5350316.05",2,2,2.9635664149092
"428","5350316.06",2,2,3.05757098548139
"429","5350317.02",3,3,-1.30694740533174
"430","5350317.03",4,4,-1.28477988867313
"431","5350317.04",3,3,-1.92338156741667
"432","5350317.05",2,2,0.0352853020640163
"433","5350318.00",1,1,-0.977720391066037
"434","5350319.00",2,2,0.595366110228295
"435","5350320.01",1,1,-1.42797203402075
"436","5350320.02",2,2,1.28382500938436
"437","5350321.01",1,1,-0.410766835752488
"438","5350321.02",1,1,-0.846418682484659
"439","5350322.01",3,3,-0.0762025407688041
"440","5350322.02",2,2,1.48209374394855
"441","5350323.01",2,2,-1.26190919468358
"442","5350323.02",5,5,-1.44003374980277
"443","5350324.01",4,4,-1.67189266594449
"444","5350324.02",2,2,-3.13236905999282
"445","5350324.03",2,2,-0.991716257053961
"446","5350324.05",1,1,0.745775860347783
"447","5350324.06",1,1,1.22202236832726
"448","5350330.00",4,4,-1.85989785499863
"449","5350331.01",1,1,-2.15198877916951
"450","5350331.03",1,1,-4.45944082214569
"451","5350331.04",0,0,0.729429734636328
"452","5350332.00",3,3,-1.3055724218772
"453","5350333.00",4,4,-1.17146504719915
"454","5350334.00",4,4,0.394926266680324
"455","5350335.00",3,3,-2.03867588009584
"456","5350336.00",1,1,-0.156849599456775
"457","5350337.01",2,2,-3.74378056375863
"458","5350337.02",2,3,-2.49999108515927
"459","5350338.00",2,2,-1.68837262262715
"460","5350339.00",3,3,2.28949571795882
"461","5350340.00",4,4,-1.18573900744586
"462","5350341.02",2,2,0.515328264563053
