,ctuid,pop_elderly_prop,pop_child_prop,pop_immig,pop_nodegree,pop_unemployed,inc_lico_p,inc_total30p,dw_majorrep,dw_lone_prop,dw_no_car,Ai_jobs_transit,Ai_activities_transit,Ai_jobs_auto,Ai_activities_auto,Ai_jobs_ratio,Ai_activities_ratio,Ai_combine,SESi,pop,mean_nonworktrip_time_adult,mean_commute_time_adult,R_trips_per_day,R_activities_per_day
293,5350244.01,,,,,,,,,,,,,,,,,,,,,,,
294,5350244.02,,,,,,,,,,,,,,,,,,,,,,,
295,5350245.00,,,,,,,,,,,,,,,,,,,,,,,
296,5350246.00,,,,,,,,,,,,,,,,,,,,,,,
297,5350247.01,,,,,,,,,,,,,,,,,,,,,,,
298,5350247.02,,,,,,,,,,,,,,,,,,,,,,,
299,5350248.02,,,,,,,,,,,,,,,,,,,,,,,
300,5350248.03,,,,,,,,,,,,,,,,,,,,,,,
301,5350248.04,,,,,,,,,,,,,,,,,,,,,,,
302,5350248.05,,,,,,,,,,,,,,,,,,,,,,,
303,5350249.01,,,,,,,,,,,,,,,,,,,,,,,
304,5350249.03,,,,,,,,,,,,,,,,,,,,,,,
305,5350249.04,,,,,,,,,,,,,,,,,,,,,,,
306,5350249.05,,,,,,,,,,,,,,,,,,,,,,,
307,5350250.01,,,,,,,,,,,,,,,,,,,,,,,
308,5350250.02,,,,,,,,,,,,,,,,,,,,,,,
309,5350250.04,,,,,,,,,,,,,,,,,,,,,,,
310,5350250.05,,,,,,,,,,,,,,,,,,,,,,,
311,5350260.01,,,,,,,,,,,,,,,,,,,,,,,
312,5350260.04,,,,,,,,,,,,,,,,,,,,,,,
313,5350260.05,,,,,,,,,,,,,,,,,,,,,,,
314,5350260.06,,,,,,,,,,,,,,,,,,,,,,,
315,5350260.07,,,,,,,,,,,,,,,,,,,,,,,
316,5350261.00,,,,,,,,,,,,,,,,,,,,,,,
317,5350262.01,,,,,,,,,,,,,,,,,,,,,,,
318,5350262.02,,,,,,,,,,,,,,,,,,,,,,,
